brand,station_count,location_count
COMPASS ONE,4,11
SUBWAY,8,7
EVERGREENS SALAD,5,7
CAFFE LADRO,5,5
BLUE WATER TACO GRILL,4,4
CITY MARKET,4,4
MUD BAY,4,4
RUDYS BARBERSHOP,4,4
TOP POT DOUGHNUTS,4,4
TACO DEL MAR,3,4
BON APPETIT MANAGEMENT,2,4
DOUGH ZONE DUMPLING HOUSE,5,3
FLIK INTERNATIONAL,5,3
GREAT STATE BURGER,5,3
JUST POKE,5,3
METRO BY T MOBILE,5,3
WESTMANS BAGELS,5,3
CAPELLIS GENTLEMENS BARBERSHOP,4,3
CHIPOTLE MEXICAN GRILL,4,3
MONORAIL ESPRESSO,4,3
T MOBILE FINANCIAL,4,3
TP TEA,4,3
A PIZZA MART,3,3
ANCHORHEAD COFFEE,3,3
EUREST DINING,3,3
I J SUSHI BURRITO,3,3
PAGLIACCI PIZZA,3,3
POTBELLY SANDWICH SHOP,3,3
BOD STARBUCKS,1,3
ESPRESSO VIVACE,1,3
CAFFE UMBRIA,5,2
BUTLER PARKING,4,2
CENTERPLATE,4,2
CITY GRIND ESPRESSO,4,2
HAIR GALLERY SALON,4,2
KASALA,4,2
KELLEY ROSS COMPOUNDING PHARMACY,4,2
LEON COFFEE HOUSE,4,2
LUNE CAFE,4,2
MOLLY MOONS HOMEMADE ICE CREAM,4,2
OLYMPIA COFFEE ROASTING,4,2
PCC COMMUNITY MARKETS,4,2
PHO BO,4,2
PINK GORILLA GAMES,4,2
PS SALON SPA,4,2
SALT STRAW,4,2
SAMURAI NOODLE,4,2
SEATTLE CHINESE HERBS,4,2
SUB POP RECORDS,4,2
TAVOLATA,4,2
THE JUICY CAFE,4,2
VICTROLA COFFEE,4,2
663 BISTRO,3,2
A GOOD CULT,3,2
ARMISTICE COFFEE,3,2
ARTAS USUWIL,3,2
BOGEY BOYS,3,2
BOON BOONA COFFEE,3,2
CAFFE DARTE,3,2
CHEF STORE,3,2
EL GRINGO IMPORTS,3,2
FANTAGRAPHICS BOOKS,3,2
HAIR TO YOU,3,2
JOE THE JUICE,3,2
KAJIKEN,3,2
KSWB LEATHER,3,2
LOCUST CIDER,3,2
MENDOCINO FARMS,3,2
MINTISH COFFEE HOUSE,3,2
NORDSTROM RACK,3,2
PARS GROUP,3,2
RESTAURANT ASSOCIATES,3,2
SEATTLE SHIRT COMPANY,3,2
SIMPLY SEATTLE,3,2
SOLA SALON STUDIOS,3,2
SSJADESIGNS,3,2
STORYVILLE COFFEE COMPANY,3,2
SUGAR PLUM,3,2
SUIT SUPPLY,3,2
TAROT CROW,3,2
TASTE OF ASIA,3,2
THE CRAB POT,3,2
TRISONS,3,2
VERVE BOWLS,3,2
WALLA WALLA FARMS CAFE,3,2
ALDER ASH,2,2
ALL THE BEST PET CARE,2,2
ART PRIMO,2,2
ARTLY COFFEE,2,2
BARNES NOBLE BOOKSELLERS,2,2
BBS TERIYAKI GRILL,2,2
BELMONT,2,2
BROW ARC,2,2
DEEP ROOTS,2,2
DOG IN THE PARK,2,2
FARESTART,2,2
FEATHERED FRIENDS,2,2
FRAME CENTRAL,2,2
GENOA HEALTHCARE,2,2
HONDA OF SEATTLE,2,2
HPG,2,2
INSOMNIA COOKIES,2,2
JORDAN,2,2
JULIUS,2,2
OUR FABRIC STASH,2,2
PACMED CLINIC PHARMACIES,2,2
PASEO,2,2
PHO CYCLO CAFE,2,2
PIKE PLACE CHOWDER,2,2
PIUS KITCHEN BATH,2,2
PORTAGE BAY CAFE,2,2
PRIME NOW,2,2
SAIGON DELI,2,2
SHANTI THREADING SALON,2,2
SPICE WAALA,2,2
SUGAR BAKERY,2,2
SUNRIGHT TEA STUDIO,2,2
TACOS CHUKIS,2,2
TEA ADDICTS,2,2
TETO S CANTINA,2,2
VICTROLA COFFEE ROASTERS,2,2
WHOLE FOODS MARKET,2,2
5 STAR CAFE BAR,1,2
AN NAM PHO,1,2
ARIZONAS,1,2
BEST OF THE BEST MINI MART,1,2
CAPITOL LOANS,1,2
CARMELOS TACOS,1,2
COLD PLATE,1,2
CORVUS AND COMPANY,1,2
EMERALD CITY SMOOTHIE,1,2
HAIR SHARP SALON,1,2
HATCH HAIR COMPANY,1,2
HAZY VINTAGE,1,2
HILLCREST MARKET,1,2
KOREAN TOFU HOUSE,1,2
NATHANS BARBER SHOP,1,2
OOINK,1,2
PAULS ITALIAN KITCHEN,1,2
PELICANA CHICKEN,1,2
RECETAS DE ABUELITA,1,2
