station,ring,ring_index,business_count,area_sq_mi,density_per_sq_mi
Beacon Hill,0-0.1 mi,0,23,0.03136548490548164,733.2901139360472
Beacon Hill,0.1-0.2 mi,1,20,0.09409645471639204,212.5478591120172
Beacon Hill,0.2-0.3 mi,2,15,0.15682742452725296,95.64653660044866
Beacon Hill,0.3-0.6 mi,3,103,0.846868092447558,121.62460826965003
Capitol Hill,0-0.1 mi,0,49,0.03136548490548164,1562.2267644724484
Capitol Hill,0.1-0.2 mi,1,47,0.09409645471639204,499.4874689132404
Capitol Hill,0.2-0.3 mi,2,108,0.15682742452725296,688.6550635232304
Capitol Hill,0.3-0.6 mi,3,575,0.846868092447558,678.97232771892
Columbia City,0-0.1 mi,0,6,0.03136548490548164,191.29307320070797
Columbia City,0.1-0.2 mi,1,12,0.09409645471639204,127.5287154672103
Columbia City,0.2-0.3 mi,2,27,0.15682742452725296,172.1637658808076
Columbia City,0.3-0.6 mi,3,129,0.846868092447558,152.3259656969403
International District/Chinatown,0-0.1 mi,0,59,0.03136548490548164,1881.0485531402949
International District/Chinatown,0.1-0.2 mi,1,113,0.09409645471639204,1200.895403982897
International District/Chinatown,0.2-0.3 mi,2,121,0.15682742452725296,771.5487285769525
International District/Chinatown,0.3-0.6 mi,3,330,0.846868092447558,389.67107503868453
Mount Baker,0-0.1 mi,0,10,0.03136548490548164,318.8217886678466
Mount Baker,0.1-0.2 mi,1,16,0.09409645471639204,170.03828728961375
Mount Baker,0.2-0.3 mi,2,13,0.15682742452725296,82.89366505372217
Mount Baker,0.3-0.6 mi,3,95,0.846868092447558,112.17803675356069
Northgate,0.1-0.2 mi,1,10,0.09409645471639204,106.2739295560086
Northgate,0.2-0.3 mi,2,7,0.15682742452725296,44.63505041354271
Northgate,0.3-0.6 mi,3,100,0.846868092447558,118.08214395111652
Othello,0-0.1 mi,0,34,0.03136548490548164,1083.9940814706783
Othello,0.1-0.2 mi,1,19,0.09409645471639204,201.92046615641632
Othello,0.2-0.3 mi,2,12,0.15682742452725296,76.51722928035893
Othello,0.3-0.6 mi,3,89,0.846868092447558,105.09310811649371
Pioneer Square,0-0.1 mi,0,25,0.03136548490548164,797.0544716696165
Pioneer Square,0.1-0.2 mi,1,143,0.09409645471639204,1519.717192650923
Pioneer Square,0.2-0.3 mi,2,125,0.15682742452725296,797.0544716704055
Pioneer Square,0.3-0.6 mi,3,620,0.846868092447558,732.1092924969224
Rainier Beach,0-0.1 mi,0,2,0.03136548490548164,63.76435773356932
Rainier Beach,0.1-0.2 mi,1,11,0.09409645471639204,116.90132251160945
Rainier Beach,0.3-0.6 mi,3,37,0.846868092447558,43.690393261913115
Roosevelt,0-0.1 mi,0,22,0.03136548490548164,701.4079350692625
Roosevelt,0.1-0.2 mi,1,39,0.09409645471639204,414.4683252684335
Roosevelt,0.2-0.3 mi,2,21,0.15682742452725296,133.90515124062813
Roosevelt,0.3-0.6 mi,3,150,0.846868092447558,177.1232159266748
SODO,0-0.1 mi,0,9,0.03136548490548164,286.9396098010619
SODO,0.1-0.2 mi,1,29,0.09409645471639204,308.1943957124249
SODO,0.2-0.3 mi,2,72,0.15682742452725296,459.10337568215357
SODO,0.3-0.6 mi,3,149,0.846868092447558,175.94239448716363
Stadium,0-0.1 mi,0,1,0.03136548490548164,31.88217886678466
Stadium,0.1-0.2 mi,1,2,0.09409645471639204,21.25478591120172
Stadium,0.2-0.3 mi,2,12,0.15682742452725296,76.51722928035893
Stadium,0.3-0.6 mi,3,373,0.846868092447558,440.44639693766464
Symphony,0-0.1 mi,0,46,0.03136548490548164,1466.5802278720944
Symphony,0.1-0.2 mi,1,119,0.09409645471639204,1264.6597617165023
Symphony,0.2-0.3 mi,2,378,0.15682742452725296,2410.2927223313063
Symphony,0.3-0.6 mi,3,660,0.846868092447558,779.3421500773691
U District,0-0.1 mi,0,55,0.03136548490548164,1753.5198376731564
U District,0.1-0.2 mi,1,103,0.09409645471639204,1094.6214744268884
U District,0.2-0.3 mi,2,77,0.15682742452725296,490.9855545489698
U District,0.3-0.6 mi,3,123,0.846868092447558,145.24103705987332
University of Washington,0.1-0.2 mi,1,4,0.09409645471639204,42.50957182240344
University of Washington,0.2-0.3 mi,2,1,0.15682742452725296,6.376435773363244
University of Washington,0.3-0.6 mi,3,13,0.846868092447558,15.350678713645149
Westlake,0-0.1 mi,0,79,0.03136548490548164,2518.692130475988
Westlake,0.1-0.2 mi,1,141,0.09409645471639204,1498.4624067397212
Westlake,0.2-0.3 mi,2,403,0.15682742452725296,2569.7036166653875
Westlake,0.3-0.6 mi,3,661,0.846868092447558,780.5229715168803
