station,businesses_within_0_3mi,density_per_sq_mi,avg_monthly_boardings
Beacon Hill,58,347.161503216171,83161
Capitol Hill,204,916.7897656363065,278486
Columbia City,45,163.66185151624197,65316
International District/Chinatown,293,1284.4975619000481,163726
Mount Baker,39,190.58458033706083,71062
Northgate,17,75.45448998477565,120581
Othello,65,454.1439256358179,72809
Pioneer Square,293,1037.9420453303148,95100
Rainier Beach,13,90.33284012258939,49176
Roosevelt,82,416.5938038594414,115264
SODO,110,351.4124603985468,63313
Stadium,15,43.2180646861151,66458
Symphony,543,1713.8442373066343,138262
U District,235,1113.0422888830049,213314
University of Washington,5,24.443003797883343,152748
Westlake,623,2195.619384627032,359338
